2019-02-23 11:51:02 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:51:04 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Электроинструмент
2019-02-23 11:51:06 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:51:08 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Профессиональный инструмент
2019-02-23 11:51:10 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:51:12 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Ручной инструмент, аксессуары
2019-02-23 11:51:17 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:51:20 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Строительное оборудование
2019-02-23 11:51:23 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:51:25 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Крепежные изделия
2019-02-23 11:51:27 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:51:29 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Отделочные материалы
2019-02-23 11:51:32 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:51:34 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Электрооборудование
2019-02-23 11:51:37 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Компьютеры
2019-02-23 11:51:39 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Компьютерная техника
2019-02-23 11:51:43 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Компьютеры
2019-02-23 11:51:45 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Периферия, аксессуары
2019-02-23 11:51:51 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Компьютеры
2019-02-23 11:51:53 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Комплектующие
2019-02-23 11:51:55 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Компьютеры
